Image,Brand,Model,Reference,Movement,Case material,Case size,Dial color,Bracelet material,Gender,Price, Refext
scraping/images/W4BB0015.jpg,Cartier,Ballon Bleu,W4BB0015,Quartz,Steel set with Diamonds,28 MM,Rose Gold,Steel,Woman,10750,Dummy
scraping/images/WT100002.jpg,Cartier,Tank Anglaise,WT100002,Quartz,Rose Gold set with Diamonds,30 MM,Rose Gold,Alligator,Woman,30700,Dummy
scraping/images/WT100027.jpg,Cartier,Tank Anglaise,WT100027,Quartz,Rose Gold set with Diamonds,26.2 MM,Rose Gold,Alligator,Woman,34800,Dummy
scraping/images/WT100028.jpg,Cartier,Tank Anglaise,WT100028,Quartz,White Gold set with Diamonds,26.2 MM,White Gold,Alligator,Woman,37300,Dummy
scraping/images/WT100009.jpg,Cartier,Tank Anglaise,WT100009,Automatic,White Gold,39.2 MM,White Gold,Alligator,Woman,45700,Dummy
scraping/images/WT100013.jpg,Cartier,Tank Anglaise,WT100013,Quartz,Rose Gold set with Diamonds,22.7 MM,White Gold,Alligator - Burgundy,Woman,20200,Dummy
scraping/images/WT100029.jpg,Cartier,Tank Anglaise,WT100029,Quartz,Rose Gold set with Diamonds,26.2 MM,White Gold,Alligator - Brown,Woman,23800,Dummy
scraping/images/WT100016.png,Cartier,Tank Anglaise,WT100016,Automatic,Rose Gold set with Diamonds,29.8 MM,White Gold,Crocodile - Burgundy,Woman,29500,Dummy
scraping/images/WT100014.jpg,Cartier,Tank Anglaise,WT100014,Quartz,Yellow Gold set with Diamonds,22.7 MM,White Gold,Alligator - Purple,Woman,20200,Dummy
scraping/images/WT100015.jpg,Cartier,Tank Anglaise,WT100015,Quartz,White Gold set with Diamonds,22.7 MM,White Gold,Alligator - Pink,Woman,21600,Dummy
scraping/images/WT100030.jpg,Cartier,Tank Anglaise,WT100030,Quartz,White Gold set with Diamonds,26.2 MM,White Gold,Alligator - Pink,Woman,25500,Dummy
scraping/images/WT100018.jpg,Cartier,Tank Anglaise,WT100018,Automatic,White Gold set with Diamonds,29.8 MM,White Gold,Alligator - Pink,Woman,31500,Dummy
scraping/images/WGTA0027.png,Cartier,Tank Cintrée,WGTA0027,Manual,Platinum,23 MM,White Gold,Alligator - Grey,Man,23200,Dummy
scraping/images/WGTA0025.png,Cartier,Tank Cintrée,WGTA0025,Manual,Rose Gold,23 MM,White Gold,Alligator - Grey,Man,20200,Dummy
scraping/images/WGTA0026.jpg,Cartier,Tank Cintrée,WGTA0026,Manual,Rose Gold,23 MM,White Gold,Alligator - Brown,Man,20200,Dummy
scraping/images/WJTA0022.png,Cartier,Tank Francaise,WJTA0022,Quartz,Rose Gold set with Diamonds,20 MM,Rose Gold,Alligator,Woman,24800,Dummy
scraping/images/WJTA0023.png,Cartier,Tank Francaise,WJTA0023,Quartz,Rose Gold set with Diamonds,25 MM,Rose Gold,Alligator,Unisex,28600,Dummy
